ids	count
00656634-04ca-459b-9242-ed287bb7c9af_ENSG00000183765.23	24.0
0095ea7d-3e5c-477b-aeab-772dc0be4441_ENSG00000183765.23	32.0
00dc57cc-fbdc-4eb2-994c-981a3abfc8ba_ENSG00000183765.23	6.0
010a0fb1-bda2-4627-a537-d1eced944229_ENSG00000183765.23	10.0
016d75da-f8d4-4bb3-9366-253a1b83d47c_ENSG00000183765.23	175.0
0186af9d-4737-4510-abcb-c9a05fcda93f_ENSG00000183765.23	15.0
01e23611-079e-47f5-9de6-583d4865a9dd_ENSG00000183765.23	4.0
0296ace9-ea93-4527-a9ac-d71124b9acd2_ENSG00000183765.23	16.0
032092ef-de88-416d-926b-313440f2b43c_ENSG00000183765.23	109.0
03464d3b-c424-4c0b-b860-131131434f34_ENSG00000183765.23	208.0
04dda847-e54f-47ba-a8b4-29db7e0077af_ENSG00000183765.23	3.0
06a4c516-c89c-4a38-8409-e10df7768c70_ENSG00000183765.23	2.0
06e73b02-ea67-4d0b-8784-1d3cdbc0183f_ENSG00000183765.23	182.0
0703dbfd-3ab5-4334-a959-c9ca8f7ae966_ENSG00000183765.23	191.0
073dd7e9-42df-460c-9ba0-22a06cb2e56d_ENSG00000183765.23	3.0
07621b72-5bed-44ef-9e99-af9bc3c283d0_ENSG00000183765.23	11.0
07710cd5-effd-4383-b273-49da33a0c66d_ENSG00000183765.23	9.0
081c3d2f-ac75-41a1-b366-bd4b6dafae07_ENSG00000183765.23	11.0
0852e276-41f7-4962-8f03-054923fac72b_ENSG00000183765.23	8.0
08fcfbde-d5aa-433c-8802-857d2bb5886b_ENSG00000183765.23	6.0
094dee43-e75f-4c0d-953a-5b0ecf8a19dc_ENSG00000183765.23	5.0
09aa50d2-a9d4-45be-be5d-18bc36a97dea_ENSG00000183765.23	8.0
0aa04174-2ab0-47a0-ba9e-05f96c1073f4_ENSG00000183765.23	14.0
0aa9be64-9437-4fca-9577-1b225c6f5d99_ENSG00000183765.23	6.0
0ac64c37-be06-4947-a31d-daa30f98a2af_ENSG00000183765.23	4.0
0af8ae9d-ec39-42e7-bc0d-c1c8c9a608e4_ENSG00000183765.23	10.0
0b4a36b9-2c3f-44c2-b55e-ea5492f64c5d_ENSG00000183765.23	9.0
0ba40267-325c-4ce0-b493-072065161407_ENSG00000183765.23	2024.0
0ba4c0da-1175-4446-9c97-5be76e9eacc2_ENSG00000183765.23	6.0
0bb67f28-4a27-4d56-91a4-4b928e41db57_ENSG00000183765.23	12.0
0bc085c6-e888-4b40-9061-363974e54bfd_ENSG00000183765.23	5.0
0cadbc9f-a5ca-4412-b0a1-ee740b743d2b_ENSG00000183765.23	11.0
0e99aa31-ab83-4b2c-8782-591553bd06a2_ENSG00000183765.23	4.0
0f0436c4-637b-4f7f-bae5-6dd08bb3e72d_ENSG00000183765.23	1.0
0f2e3fc9-1295-4816-862e-d4f261a0985f_ENSG00000183765.23	12.0
0fa81f97-c189-4c32-921f-fb9b6211f796_ENSG00000183765.23	144.0
105b0d00-2520-439d-aecf-120bdf6899cd_ENSG00000183765.23	7.0
1082bf4c-ab27-42bc-aaaa-a0b021816e08_ENSG00000183765.23	138.0
119d90ab-26e9-4455-98a2-ec0fc60b0b00_ENSG00000183765.23	12.0
11a7a015-4438-4736-bc6e-b8641e07829b_ENSG00000183765.23	674.0
11e8d0c6-3a74-45d0-9161-38acdcdb38c5_ENSG00000183765.23	16.0
121d24b1-d0fa-437f-ba7e-40100d5f208b_ENSG00000183765.23	4.0
133e7858-a23a-4f3c-83b8-2e4fd6a6fa22_ENSG00000183765.23	147.0
13e0b032-f15b-415c-93cc-10c82a093516_ENSG00000183765.23	29.0
14093490-5c19-4612-9723-1876b5a4c83f_ENSG00000183765.23	287.0
142fd8db-bf55-411b-904b-298470c877f1_ENSG00000183765.23	4.0
14b723b8-cf57-4f53-a59b-798bbaf3216a_ENSG00000183765.23	8.0
15ff7540-f924-479a-a8bd-0af1e383c2ca_ENSG00000183765.23	8.0
17d64969-f6c5-4fa7-bb92-a07174195f6a_ENSG00000183765.23	27.0
17d7623a-6f63-4e93-900a-480003021b75_ENSG00000183765.23	5.0
182f48a9-44b2-4ca5-9cba-f819d37889e3_ENSG00000183765.23	102.0
18fb58cc-a5b1-4c0d-9c8a-40cd80826c45_ENSG00000183765.23	8.0
1954760e-9828-43b5-9daa-4a1b0449dab1_ENSG00000183765.23	69.0
1967c6d1-f2ff-42ae-a4f1-de3b606c18fd_ENSG00000183765.23	43.0
1970ce76-a2ad-464b-9830-09ebbf3370c7_ENSG00000183765.23	337.0
19719605-384c-4cb1-9777-395ac1090199_ENSG00000183765.23	52.0
19bef1bf-de70-44b7-919e-1ad68eacab4d_ENSG00000183765.23	4.0
1a5efa05-5a28-4b6e-992d-3737709199f3_ENSG00000183765.23	9.0
1b4b0a87-e8e3-439a-9bf5-4517b6b19a03_ENSG00000183765.23	7.0
1b8c1258-b9ae-4675-a9e9-ce081fb41bc1_ENSG00000183765.23	12.0
1b8fd5d6-ea71-4dad-8cd7-e8fc738c3f8f_ENSG00000183765.23	9.0
1bcd0c74-fb54-47d6-ad6e-cf49d2e8f858_ENSG00000183765.23	10.0
1bf54acb-b75e-4218-87c3-9d4fda1aa37a_ENSG00000183765.23	4.0
1d2f0ebf-b7bd-4c49-8c55-331e5f87660f_ENSG00000183765.23	9.0
1d395411-10c0-46d3-9514-ca036e624f4a_ENSG00000183765.23	6.0
1d428f5c-0b6b-4e78-9cdf-2dedcb0296ac_ENSG00000183765.23	10.0
1ef9463f-1f1b-4c04-bcac-3f1e2eb0b395_ENSG00000183765.23	476.0
1f057684-021b-44af-8c75-ca0488e94df4_ENSG00000183765.23	952.0
206db645-62a4-4577-b4a7-3fbee8b0dcba_ENSG00000183765.23	31.0
20d2cabf-cd66-4101-ad90-2109bc5b67bd_ENSG00000183765.23	116.0
21fbea2b-6ac1-4f45-ab84-95569d8ec442_ENSG00000183765.23	631.0
23bccd21-ef30-47b7-b7f6-442b40379a8b_ENSG00000183765.23	3.0
23c91b5b-c338-42f2-9952-143a88e796b1_ENSG00000183765.23	12.0
23f0dfa9-14e2-43bd-a96b-02304a8af907_ENSG00000183765.23	18.0
240e501b-ae44-428c-9562-afc16602ba08_ENSG00000183765.23	7.0
2424a434-f479-4b2b-9763-f890aebbff78_ENSG00000183765.23	30.0
243c221f-4732-44f5-be29-b3bde3739a63_ENSG00000183765.23	101.0
24846b3c-eb4b-4f61-9329-ab431e6fcfe7_ENSG00000183765.23	10.0
2491c99d-1313-42a1-a4d9-c97e8c3878f8_ENSG00000183765.23	3.0
25d35e14-539f-4739-af7a-c26506eb071e_ENSG00000183765.23	73.0
25daf2c0-8629-4324-a76f-d95dcdddae72_ENSG00000183765.23	11.0
262a0a1f-8012-45de-b1c8-c797088b4b2e_ENSG00000183765.23	13.0
2634e097-8165-43f4-8d1b-d4104f649dfe_ENSG00000183765.23	9.0
27bf2a22-2b33-4cf5-9d0d-56d546c8fd9b_ENSG00000183765.23	28.0
280d28e6-8d4a-460e-88d2-29654bddaf9e_ENSG00000183765.23	6.0
2818d920-0276-4497-a416-9181eab2d44f_ENSG00000183765.23	12.0
2826b69c-a872-42bc-8542-8cd569be98ca_ENSG00000183765.23	81.0
28312bd8-eab8-47b8-9697-38a558ec7b7c_ENSG00000183765.23	9.0
28343d79-1f3c-449b-b5c2-258dda095d67_ENSG00000183765.23	157.0
2869d62d-30f7-4521-be5a-63702f05accd_ENSG00000183765.23	3.0
2923d9f2-23fe-47aa-ba73-b8e5cfa157a2_ENSG00000183765.23	4.0
29c35b28-f5e3-427d-9fcf-017b458ab38a_ENSG00000183765.23	8.0
29cc07e9-08dc-44c8-9b83-9e488ad5c1ec_ENSG00000183765.23	5.0
29e4e9d6-0656-4f00-9faa-2df9777aba9e_ENSG00000183765.23	5.0
2a1a2c18-564c-4260-bb7d-fa1cac95aa5b_ENSG00000183765.23	260.0
2a3549ce-5b85-4f06-97f3-574e0a93991e_ENSG00000183765.23	28.0
2bf569a4-9e66-4ced-82bc-3185d5eb7503_ENSG00000183765.23	41.0
2c51d1aa-99a3-406e-873f-6bfc37045932_ENSG00000183765.23	10.0
2d028884-5852-424a-b48f-70edeb23641e_ENSG00000183765.23	3042.0
2d852f68-69d8-4a63-b411-039eb79dae39_ENSG00000183765.23	45.0
2daf95c6-9f3b-4fc8-94a6-43b9030a9100_ENSG00000183765.23	126.0
2e4b5526-27bf-4d0e-b991-d2be1d3fed93_ENSG00000183765.23	5.0
2f16d648-38d8-4481-9eab-0524711ac8a3_ENSG00000183765.23	780.0
2f4da988-4eb8-44f2-9c90-9ff912aae302_ENSG00000183765.23	4.0
307d2a45-5057-4d3a-a31e-b3c8b44b709b_ENSG00000183765.23	4.0
30927457-b318-484e-ac78-eeb07df7ee5c_ENSG00000183765.23	151.0
31b8641b-7778-4f31-adf4-d9bc519adf0c_ENSG00000183765.23	11.0
329d8231-b006-41f5-bf2f-ca27a503980f_ENSG00000183765.23	321.0
32ae8f6e-9473-489c-8624-d0d6687a68bf_ENSG00000183765.23	2274.0
3352bf93-4d47-4b5e-8225-d8f1899ef049_ENSG00000183765.23	12.0
338149ac-e18a-44bf-a590-3ae4621abe62_ENSG00000183765.23	562.0
339c934e-7631-40ad-b5e4-b904fac95a17_ENSG00000183765.23	116.0
33a5f018-6e4a-4502-9d7a-cb43b5f5bf88_ENSG00000183765.23	11.0
3401c5b6-3f64-416f-aacb-05a35ef592b6_ENSG00000183765.23	9.0
34840d49-8c9d-40ec-b8a2-d20ed00b2c85_ENSG00000183765.23	2.0
3497537f-f34e-4681-9295-1a48b292d1c1_ENSG00000183765.23	3.0
34a80060-10bb-4a85-b9a5-ab29946231cc_ENSG00000183765.23	5.0
34f96ef1-43ee-4959-be8e-2ca116a227a1_ENSG00000183765.23	12.0
352ed03c-19b9-4fb9-a9b5-0914adf14c09_ENSG00000183765.23	3.0
3541fd3a-76d4-4e96-9e70-ba5adc23cd0d_ENSG00000183765.23	14.0
355a2a3e-949f-432c-b154-2771d0b9c7ae_ENSG00000183765.23	6.0
35a565d9-9c9a-4aa7-bc7d-7d204edc8df5_ENSG00000183765.23	19.0
361b7d2b-427b-4fb0-af62-01ed3c7cd956_ENSG00000183765.23	125.0
362da901-bdaa-42c8-97d8-91ae614fb452_ENSG00000183765.23	188.0
3636a2a3-6b58-4df5-bcdb-d9a3bcb39a89_ENSG00000183765.23	12.0
3656b084-2ee2-4511-a978-53805b9d44c3_ENSG00000183765.23	13.0
366ff55a-c147-46a9-8163-5572b8036b6c_ENSG00000183765.23	7.0
37c8161b-332e-44fc-90c5-d65481ad6ed2_ENSG00000183765.23	125.0
37ea52aa-ec6e-48a7-8a6a-e985796ae003_ENSG00000183765.23	71.0
3832edce-a507-4dce-8931-730d88ccc88c_ENSG00000183765.23	225.0
38b82357-0c65-4246-9176-3bb63d0ecbe2_ENSG00000183765.23	68.0
39259be2-8622-4beb-b70e-6e8ddc93ae4d_ENSG00000183765.23	10.0
395ffd06-0eac-4c03-b16c-f299547aeee1_ENSG00000183765.23	9.0
39771ddf-7977-4d1f-b079-e44b92449fa9_ENSG00000183765.23	8.0
3987a7be-a3e0-48b7-b46d-829a0b5d0685_ENSG00000183765.23	9.0
39a111f6-b56c-431b-9076-11fca236c864_ENSG00000183765.23	8.0
39e71391-447f-4c6b-82cd-f8949853a477_ENSG00000183765.23	7.0
3acd55e0-57b8-41a7-b923-207e49899d06_ENSG00000183765.23	143.0
3acef04b-2017-44d7-bcf0-38b32d2d4e7c_ENSG00000183765.23	9.0
3b0777c7-9c23-495d-86ab-b1b31207ec61_ENSG00000183765.23	6019.0
3bf132d7-00f4-4d11-94ff-76dbfbed6b15_ENSG00000183765.23	1361.0
3e7ed9a7-1e26-484a-be8c-7ac4c7c6ed0f_ENSG00000183765.23	6.0
3ef08319-f533-418c-bda5-8896935b7e70_ENSG00000183765.23	29.0
3f18ac95-069c-4db9-a4c6-c891aa18e16d_ENSG00000183765.23	5.0
3f93f972-72fa-4022-b9e6-ff37ffe21b2f_ENSG00000183765.23	7.0
3fbcca60-7c57-43c8-816c-29da672ce473_ENSG00000183765.23	10.0
402a0ce3-1ae9-4dbf-a332-c3c046c8341f_ENSG00000183765.23	111.0
4036e3b6-c367-4eae-b6e7-4e74575e4a3b_ENSG00000183765.23	244.0
40adfe6c-25d5-4c24-a4bd-ab0801ab2b7d_ENSG00000183765.23	97.0
40c92fab-96ae-4e51-b373-f33c0b0f1c0b_ENSG00000183765.23	243.0
41842a97-ec4f-4a65-94af-196bd4f8ffe2_ENSG00000183765.23	297.0
41d68021-91de-4987-bdf6-3d0d90ccddaa_ENSG00000183765.23	8.0
420aa168-1f38-4dad-8177-51329a567d76_ENSG00000183765.23	6.0
42262334-2187-4cca-a880-ba08ccf9bf2f_ENSG00000183765.23	563.0
4262950f-0b15-40da-9fdb-b2887c167466_ENSG00000183765.23	12.0
42631475-f724-404d-8f45-828c0bb89f40_ENSG00000183765.23	8.0
4360b484-cd30-4ab3-a673-f90d0a4902ad_ENSG00000183765.23	6.0
45bc18d8-d56f-4618-809f-677f77860387_ENSG00000183765.23	12.0
45fd3790-92c8-4658-804c-cf15b7cbcaeb_ENSG00000183765.23	6.0
461194da-1fab-412e-8134-222155d3a12d_ENSG00000183765.23	10.0
4646dedf-3a34-442a-8f81-d92a3844ac0f_ENSG00000183765.23	6.0
4679deb1-4e5f-40b7-9779-af8a3f2a1fbe_ENSG00000183765.23	375.0
471959ba-2677-46a0-97a8-4b03dac27757_ENSG00000183765.23	1.0
475b52ac-bf60-45dc-a19c-b0c2d6b183ef_ENSG00000183765.23	34.0
47846744-78da-4093-9b51-5cd45b2c16a2_ENSG00000183765.23	537.0
48d236a4-4341-4ac7-9307-486af50844b9_ENSG00000183765.23	14.0
493373be-f783-4453-8e7e-7e7edc444fb7_ENSG00000183765.23	36.0
4abd2ac1-9ea3-4174-929a-1f44f84ac616_ENSG00000183765.23	10.0
4b1256af-3a83-4b87-b46d-b73a39f69c04_ENSG00000183765.23	13.0
4b3b82fc-de02-4ab6-9641-77a5144c821f_ENSG00000183765.23	8.0
4b72cebf-7145-4312-be8f-1027d6273348_ENSG00000183765.23	6.0
4c4844f7-68ff-4d28-ae22-67722ac1b1c5_ENSG00000183765.23	4.0
4cc54e01-420e-4f72-b169-ab2493973cfe_ENSG00000183765.23	6.0
4cce21d9-54c2-48ef-96ca-cb44fe744f2c_ENSG00000183765.23	10.0
4cdd5f47-09ee-48ea-8d5b-5d6c0ee91c52_ENSG00000183765.23	5.0
4d8a1ba1-ca4e-4ccc-92f1-08c8cdfa1429_ENSG00000183765.23	8.0
4e24ad6f-1f9d-49a6-b4f6-e1dcea26f76e_ENSG00000183765.23	134.0
4f016161-e2a0-43bb-838b-980ff40b2dad_ENSG00000183765.23	3094.0
5035e8df-9983-408a-810b-3610479db34b_ENSG00000183765.23	6.0
5068da9f-2448-423a-b1c1-644e63553985_ENSG00000183765.23	76.0
510cfa75-2b76-4de3-8b7a-5373b92728ac_ENSG00000183765.23	10.0
5175e616-a42f-4306-8bb1-7d1e1a43b34f_ENSG00000183765.23	56.0
51e50a52-0471-439b-80b4-f707283e013e_ENSG00000183765.23	7.0
51fbb1e3-7b3e-4c4d-8012-077dfed810c9_ENSG00000183765.23	9.0
521f5644-3655-410d-889a-b3c44d6d2434_ENSG00000183765.23	5.0
523a06ba-efdf-4d9d-88d3-b7cf048986d7_ENSG00000183765.23	7.0
52da5d9f-7088-478f-b0e5-88a29eebb2b5_ENSG00000183765.23	287.0
538cdfac-77ae-4e23-8599-a10b8d6adafa_ENSG00000183765.23	10.0
53ba2ccf-9873-4e22-bc76-f284badad346_ENSG00000183765.23	191.0
548d164c-0e1a-4c0d-9fb8-5322c6ab74ad_ENSG00000183765.23	13.0
55428f2d-f876-49c4-a445-dda7f157c9d1_ENSG00000183765.23	147.0
57b37263-1419-4849-a98b-bd8dfeb77e83_ENSG00000183765.23	5.0
57f3c3cc-b8c2-4566-a3d2-0c1c9e2a918c_ENSG00000183765.23	156.0
5807c88f-335b-46cf-a7c6-5b58c521ed27_ENSG00000183765.23	10.0
5872e162-6554-4869-a7e4-af3b49841f49_ENSG00000183765.23	1258.0
58c66451-dfff-4948-9a3b-33b405bf7f07_ENSG00000183765.23	26.0
59d1220c-7f21-45b2-b4e0-ce94e4fbf66b_ENSG00000183765.23	210.0
5a362215-157c-4666-a540-0d66583fac66_ENSG00000183765.23	824.0
5a464779-11a9-4220-9a47-48a320a820ea_ENSG00000183765.23	11.0
5a5befe5-217f-4e93-89af-edfcabb6f9af_ENSG00000183765.23	7.0
5aaf6b0b-db26-4304-8efa-e4f0b481eb8e_ENSG00000183765.23	6.0
5acd4d6e-d406-4c86-a44c-7b1e28c4e028_ENSG00000183765.23	221.0
5b8cfea2-29b7-4c29-bf86-fd361d8634d1_ENSG00000183765.23	8.0
5c2c6450-52a7-47b0-82a3-1aac2e70eb0b_ENSG00000183765.23	13.0
5c607d0d-9bb3-447f-a1ae-22daf3522d21_ENSG00000183765.23	15.0
5c73631e-e073-4898-9c79-66b4f66cf331_ENSG00000183765.23	10.0
5da753b8-1a88-4aa5-be53-a7f3f3c6b215_ENSG00000183765.23	19.0
5dd1a92a-007e-496c-a14a-a84ad9b9db6c_ENSG00000183765.23	64.0
5de04c66-df6d-4539-bc89-99e7b4a84675_ENSG00000183765.23	6.0
5f4b7717-6132-4daf-9724-cc37c592a67e_ENSG00000183765.23	6.0
5f645b47-46df-4896-bb07-adae10f9dc87_ENSG00000183765.23	6.0
60c150be-404e-4c09-8032-d8aa05f6e091_ENSG00000183765.23	174.0
61507aae-c809-421b-9f1c-32d7ba99bf5f_ENSG00000183765.23	179.0
61955bf4-6c02-4c61-9a94-8b8012fda326_ENSG00000183765.23	5.0
61f209a4-0ace-4d48-8ba7-8ffefc976752_ENSG00000183765.23	6.0
62495c7b-681e-4824-81f4-c5b3ef1fff82_ENSG00000183765.23	9.0
62c1db50-72c1-434c-88a2-a549451a69a0_ENSG00000183765.23	7.0
62ea47a8-c324-467c-9bed-eb720483d54c_ENSG00000183765.23	13.0
631341ae-2955-432f-ab03-0ac495a82d17_ENSG00000183765.23	12.0
6340407f-0fdf-4faa-ba7b-73c642e1e4a8_ENSG00000183765.23	57.0
637d0167-9fda-440d-8d81-5c6c5d299eca_ENSG00000183765.23	7.0
63c62a99-35ed-4990-a453-f3179bf80bb3_ENSG00000183765.23	1.0
64371054-e850-48e1-b0a4-5119a741c0c2_ENSG00000183765.23	13.0
64c3f3ac-0871-4214-9681-bdbc62160d55_ENSG00000183765.23	6.0
64ce907e-8e65-470f-9034-ebaca12d5625_ENSG00000183765.23	4.0
651ca232-8963-449d-9235-67614be1f580_ENSG00000183765.23	94.0
6611dc07-98ef-4382-8463-8729c025f336_ENSG00000183765.23	44.0
6620d5f4-5a50-4ae5-92ac-c0aad6c62f37_ENSG00000183765.23	77.0
66d26f26-fe84-43bc-8059-26a96ac93578_ENSG00000183765.23	20.0
67279e6e-864e-49ce-8524-32c6b2398b16_ENSG00000183765.23	15.0
672e9348-b4a3-4048-a5d3-8a9b570a1350_ENSG00000183765.23	91.0
67c8e436-4c44-4aef-9125-0f42d826daec_ENSG00000183765.23	84.0
6897e630-b502-4836-90a1-70b5eaa826db_ENSG00000183765.23	93.0
68ff3d9d-bd46-438d-8ebc-f79744536b0f_ENSG00000183765.23	15.0
692b0d71-dd11-4800-8917-8759951298b2_ENSG00000183765.23	51.0
6a420053-a8c6-4ebf-bcbf-1ed1550c7b58_ENSG00000183765.23	5.0
6ad9d712-17c5-4a27-bfc8-48da3dd3b298_ENSG00000183765.23	32.0
6ae76468-98b5-4aff-a5ab-4d87b7e8f3ba_ENSG00000183765.23	9.0
6b29b178-306f-4510-b466-9459e3e4ba2c_ENSG00000183765.23	21.0
6b774022-f56b-4c38-ba10-1c619a056ded_ENSG00000183765.23	5.0
6b9b1ff4-b470-4261-ad93-9bba3fb447f3_ENSG00000183765.23	6.0
6c5cb6be-1ba2-4910-9703-9c5594cf2ce2_ENSG00000183765.23	6.0
6c75a154-74ee-4de5-a023-9842ac251e28_ENSG00000183765.23	9.0
6c87ca38-bfd2-44a7-a962-2243f353efe7_ENSG00000183765.23	3.0
6cbeb153-b81f-44d8-9c61-efb51266c945_ENSG00000183765.23	7.0
6cea0ed0-af01-4d18-a5f7-b2438504073b_ENSG00000183765.23	9.0
6d6eb6d1-4ba0-45df-8461-6b7eb41b23da_ENSG00000183765.23	12.0
6ddb12e9-b6d9-4431-8be1-974a1b9b432e_ENSG00000183765.23	4.0
6e895444-e7a2-4023-8201-a21579103f3c_ENSG00000183765.23	1821.0
6ebd1a07-b410-4b0e-9b96-fdb553945d43_ENSG00000183765.23	7.0
6f0ea4d8-93a2-478c-95c3-67d862fcf3d9_ENSG00000183765.23	7.0
6fb7c2f3-059b-4525-b08e-f687f501a190_ENSG00000183765.23	18.0
6fe09814-6411-4fba-802c-8b0906f71451_ENSG00000183765.23	3.0
6fe8460b-2964-4994-84bc-c05a10c58c86_ENSG00000183765.23	4.0
6fecfaee-6a72-4608-8612-217fd7e8b769_ENSG00000183765.23	18.0
70bc617e-6785-4bf4-8d7b-ea7e463afcc2_ENSG00000183765.23	372.0
70fb5858-501e-4c32-aaaf-35f89c6ea091_ENSG00000183765.23	262.0
71a388c8-0f8c-4b79-a76a-c68df6720d9f_ENSG00000183765.23	13.0
722814ef-65b2-4a03-b1ce-fbed7555fd0e_ENSG00000183765.23	9.0
723caf93-cc7e-4a77-b6e7-67a8626d057a_ENSG00000183765.23	14.0
7294f9f2-2117-4890-b555-4bf3d90eec5e_ENSG00000183765.23	9.0
72b9864c-d97a-4971-9f8f-cdf03e1f3593_ENSG00000183765.23	7.0
72e4b3d8-dd64-48fa-9cf4-ba2b7b7b7a5a_ENSG00000183765.23	1015.0
7349e8d8-dca0-45ac-9354-320cece5813e_ENSG00000183765.23	7.0
745c192c-0ba6-4a42-a601-55f94ac7e6eb_ENSG00000183765.23	7.0
747d2215-9071-4d79-ba6e-46aed0130e11_ENSG00000183765.23	242.0
74b6428e-d8d3-461f-8237-5ce56d526bd0_ENSG00000183765.23	15.0
74e84651-d5f1-4b25-a221-30530d738119_ENSG00000183765.23	13.0
764b51d3-99f0-455d-befe-52ea1362901d_ENSG00000183765.23	4.0
76a3db76-30f9-42ad-8551-bd4451f85323_ENSG00000183765.23	9.0
77fa8c1f-d322-4f73-b35d-98008f7a588f_ENSG00000183765.23	97.0
7a11ee9d-f208-4353-b95a-95a257de7c2f_ENSG00000183765.23	147.0
7a35146f-bbe6-4e28-a7c7-08c44c67375d_ENSG00000183765.23	3.0
7acd223d-dd13-4a65-a8dd-c0a67f90cd68_ENSG00000183765.23	8.0
7b0ba332-3b3b-4fcc-bc1c-f8ff6608154f_ENSG00000183765.23	4.0
7c199051-57c9-40ea-9343-4479535b0438_ENSG00000183765.23	6.0
7c2199c0-07b2-496f-b57b-6539fe5aca4d_ENSG00000183765.23	6.0
7c2f5e63-d31c-418d-8938-970fb82da5b2_ENSG00000183765.23	12.0
7f4199a4-e429-4482-9f96-4eb16e86a890_ENSG00000183765.23	4.0
7ffd9aea-c741-4689-b0c8-7e47c638329a_ENSG00000183765.23	37.0
80c14271-d071-44c2-9c09-59d11e6a43d2_ENSG00000183765.23	12.0
80fecfe6-6a1f-457b-91bd-d941782e77c8_ENSG00000183765.23	8.0
81414ff3-f777-4872-b2d8-2c12894dcbc4_ENSG00000183765.23	4.0
8150a63b-3179-46f3-a8e1-ca00ce30edd7_ENSG00000183765.23	29.0
821b9b59-4966-44ae-9a32-db7b25a6d197_ENSG00000183765.23	144.0
8228fd93-8173-4388-bd6f-622816d1ffc2_ENSG00000183765.23	15.0
82a8c887-55eb-4cc0-942f-4c2ff793162c_ENSG00000183765.23	3.0
8353f80b-9dba-41ed-a9c5-3bc657ce0ed7_ENSG00000183765.23	12.0
843c1b83-81d7-417a-b35d-082512906275_ENSG00000183765.23	134.0
852e97e4-5fa7-4c32-b643-14974f72c9fb_ENSG00000183765.23	5.0
85301bea-992f-499c-8f19-9b394c3ca94e_ENSG00000183765.23	3.0
865b62e5-a84d-4253-9669-5837d6c9037e_ENSG00000183765.23	485.0
